FIPS,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,State_code
8005,Alabama,US,4/3/2020 22:46,39.64977461,-104.3353617,441,10,0,0,AL
8007,Alabama,US,4/3/2020 22:46,37.19474156,-107.0476867,1,0,0,0,AL
26011,Alabama,US,4/3/2020 22:46,44.0636262,-83.89277559,2,0,0,0,AL
5001,Alabama,US,4/3/2020 22:46,34.29145151,-91.37277296,1,0,0,0,AL
51013,Alaska,US,4/3/2020 22:46,38.8767675,-77.10139853,135,2,0,0,AK
42005,Alaska,US,4/3/2020 22:46,40.81665618,-79.46290811,11,0,0,0,AK
23003,Alaska,US,4/3/2020 22:46,46.65926321,-68.59841248,1,0,0,0,AK
22005,Alaska,US,4/3/2020 22:46,30.20406249,-90.9132841,222,7,0,0,AK
37009,Alaska,US,4/3/2020 22:46,36.43296207,-81.49862729,1,0,0,0,AK
39005,Alaska,US,4/3/2020 22:46,40.84772277,-82.27280781,4,0,0,0,AK
55003,Alaska,US,4/3/2020 22:46,46.31956891,-90.67837132,1,0,0,0,AK
5003,Alaska,US,4/3/2020 22:46,33.19153461,-91.7698471,1,0,0,0,AK
39007,Alaska,US,4/3/2020 22:46,41.70860332,-80.74830218,9,0,0,0,AK
22007,Alaska,US,4/3/2020 22:46,29.89946234,-91.06461642,33,0,0,0,AK
48013,Alberta,US,4/3/2020 22:46,28.89333001,-98.52730485,2,0,0,0,TX
20005,Anguilla,US,4/3/2020 22:46,39.53185661,-95.30870026,1,0,0,0,
29005,Anhui,US,4/3/2020 22:46,40.43238737,-95.42970639,1,0,0,0,
39009,Arizona,US,4/3/2020 22:46,39.33425634,-82.04278644,3,1,0,0,
34001,Arizona,US,4/3/2020 22:46,39.47538693,-74.65848483,72,1,0,0,AZ
40005,Arizona,US,4/3/2020 22:46,34.37366573,-96.03802487,1,0,0,0,AZ
28007,Arizona,US,4/3/2020 22:46,33.08658803,-89.57838564,14,0,0,0,AZ
19009,Arizona,US,4/3/2020 22:46,41.6844628,-94.90581859,1,0,0,0,AZ
39011,Arizona,US,4/3/2020 22:46,40.55998859,-84.2242143,4,0,0,0,AZ
51015,Arizona,US,4/3/2020 22:46,38.16404586,-79.12461614,4,0,0,0,AZ
46003,Arizona,US,4/3/2020 22:46,43.71757685,-98.56050467,1,0,0,0,AZ
48015,Arizona,US,4/3/2020 22:46,29.88548725,-96.27736949,4,0,0,0,AZ
1001,Arizona,US,4/3/2020 22:46,32.53952745,-86.64408227,12,0,0,0,AZ
22009,Arizona,US,4/3/2020 22:46,31.07796211,-92.00079449,37,1,0,0,AZ
8009,Arizona,US,4/3/2020 22:46,37.31940883,-102.5603223,9,0,0,0,AZ
13005,Arizona,US,4/3/2020 22:46,31.55456473,-82.45936528,6,0,0,0,AZ
12003,Arizona,US,4/3/2020 22:46,30.33060121,-82.28467476,11,0,0,0,AZ
13007,Arizona,US,4/3/2020 22:46,31.32669878,-84.44218806,4,1,0,0,AZ
1003,Arizona,US,4/3/2020 22:46,30.72774991,-87.72207058,28,1,0,0,AZ
13009,Arkansas,US,4/3/2020 22:46,33.06882326,-83.24701748,10,1,0,0,AR
24005,Arkansas,US,4/3/2020 22:46,39.45784712,-76.62911955,427,3,0,0,AR
24510,Arkansas,US,4/3/2020 22:46,39.30211911,-76.61151012,313,4,0,0,AR
45009,Arkansas,US,4/3/2020 22:46,33.21927586,-81.05659969,5,0,0,0,AR
13011,Arkansas,US,4/3/2020 22:46,34.35607081,-83.49644388,3,0,0,0,AR
16005,Arkansas,US,4/3/2020 22:46,42.67002716,-112.2233311,4,0,0,0,AR
1005,Arkansas,US,4/3/2020 22:46,31.868263,-85.3871286,1,0,0,0,AR
54001,Arkansas,US,4/3/2020 22:46,39.1307219,-80.00350858,1,0,0,0,AR
38003,Arkansas,US,4/3/2020 22:46,46.93579637,-98.06605978,2,0,0,0,AR
25001,Arkansas,US,4/3/2020 22:46,41.72980578,-70.28854339,314,6,0,0,AR
45011,Arkansas,US,4/3/2020 22:46,33.26679302,-81.43584352,2,0,0,0,AR
21009,Arkansas,US,4/3/2020 22:46,36.96469836,-85.93338945,1,0,0,0,AR
55005,Arkansas,US,4/3/2020 22:46,45.42372701,-91.84833627,1,0,0,0,AR
13013,Arkansas,US,4/3/2020 22:46,33.99148694,-83.71436292,21,2,0,0,AR
26015,Arkansas,US,4/3/2020 22:46,42.59513984,-85.30834519,5,0,0,0,AR
29009,Arkansas,US,4/3/2020 22:46,36.70978521,-93.82919888,1,0,0,0,AR
18005,Arkansas,US,4/3/2020 22:46,39.20744865,-85.89558181,23,0,0,0,AR
20009,Arkansas,US,4/3/2020 22:46,38.47889676,-98.75636726,3,0,0,0,AR
13015,Arkansas,US,4/3/2020 22:46,34.23732119,-84.83887523,154,3,0,0,AR
48021,Arkansas,US,4/3/2020 22:46,30.10370699,-97.31206354,10,0,0,0,AR
29013,Arkansas,US,4/3/2020 22:46,38.25271289,-94.34113157,2,0,0,0,AR
5005,Arkansas,US,4/3/2020 22:46,36.28784385,-92.33782872,1,0,0,0,AR
12005,Arkansas,US,4/3/2020 22:46,30.26548745,-85.62122584,18,0,0,0,AR
26017,Arkansas,US,4/3/2020 22:46,43.70639106,-83.98731479,18,0,0,0,AR
55007,Arkansas,US,4/3/2020 22:46,46.52868768,-91.19716729,3,0,0,0,AR
46005,Arkansas,US,4/3/2020 22:46,44.41464384,-98.27858469,21,1,0,0,AR
37013,Arkansas,US,4/3/2020 22:46,35.48531943,-76.84325809,8,0,0,0,AR
45013,Arkansas,US,4/3/2020 22:46,32.39226291,-80.72619758,131,2,0,0,AR
22011,Arkansas,US,4/3/2020 22:46,30.64836518,-93.34173616,13,0,0,0,AR
42007,Arkansas,US,4/3/2020 22:46,40.6825484,-80.34921611,65,2,0,0,AR
40009,Arkansas,US,4/3/2020 22:46,35.26862449,-99.68128023,1,0,0,0,AR
42009,Arkansas,US,4/3/2020 22:46,40.00522157,-78.48998442,3,0,0,0,AR
47003,Arkansas,US,4/3/2020 22:46,35.51123746,-86.45549096,6,0,0,0,AR
51019,Arkansas,US,4/3/2020 22:46,37.3080028,-79.5281964,3,0,0,0,AR
33001,Arkansas,US,4/3/2020 22:46,43.51637314,-71.41684235,13,0,0,0,AR
48027,Arkansas,US,4/3/2020 22:46,31.03736027,-97.4785025,51,1,0,0,AR
39013,Arkansas,US,4/3/2020 22:46,40.01625942,-80.9924051,14,0,0,0,AR
27007,Arkansas,US,4/3/2020 22:46,47.97373527,-94.93732139,4,0,0,0,AR
13017,Arkansas,US,4/3/2020 22:46,31.76095874,-83.22145359,3,0,0,0,AR
50003,Arkansas,US,4/3/2020 22:46,43.03519828,-73.09048868,19,0,0,0,AR
5007,Arkansas,US,4/3/2020 22:46,36.33644656,-94.25680817,42,0,0,0,AR
19011,Arkansas,US,4/3/2020 22:46,42.08011739,-92.06463573,7,0,0,0,AR
27009,Arkansas,US,4/3/2020 22:46,45.69804958,-93.99514135,1,0,0,0,AR
28009,Arkansas,US,4/3/2020 22:46,34.81681228,-89.18945516,5,0,0,0,AR
29015,Arkansas,US,4/3/2020 22:46,38.29503305,-93.28756116,3,0,0,0,AR
41003,Arkansas,US,4/3/2020 22:46,44.49167306,-123.4316987,17,1,0,0,AR
47005,Arkansas,US,4/3/2020 22:46,36.07110411,-88.06849355,4,0,0,0,AR
53005,Arkansas,US,4/3/2020 22:46,46.23946995,-119.5120834,136,13,0,0,AR
34003,Arkansas,US,4/3/2020 22:46,40.96010917,-74.07164325,4866,132,0,0,AR
45015,Arkansas,US,4/3/2020 22:46,33.20222596,-79.94654523,42,0,0,0,AR
54003,Arkansas,US,4/3/2020 22:46,39.46704621,-78.02414609,37,0,0,0,AR
42011,Arkansas,US,4/3/2020 22:46,40.41570541,-75.92457766,201,1,0,0,AR
25003,Arkansas,US,4/3/2020 22:46,42.37428441,-73.20524838,240,5,0,0,AR
35001,Arkansas,US,4/3/2020 22:46,35.05163625,-106.6703554,202,7,0,0,AR
13019,Arkansas,US,4/3/2020 22:46,31.27590016,-83.2252992,3,0,0,0,AR
26021,Arkansas,US,4/3/2020 22:46,41.95447397,-86.4131308,52,1,0,0,AR
37015,Arkansas,US,4/3/2020 22:46,36.0688473,-76.96545943,6,1,0,0,AR
48029,Arkansas,US,4/3/2020 22:46,29.44928723,-98.52019748,254,9,0,0,AR
1007,Aruba,US,4/3/2020 22:46,32.99642064,-87.1251146,4,0,0,0,
13021,Australian Capital Territory,US,4/3/2020 22:46,32.80904227,-83.70489165,32,1,0,0,
22013,Beijing,US,4/3/2020 22:46,32.34569994,-93.05398492,9,1,0,0,
27011,Bermuda,US,4/3/2020 22:46,45.42712824,-96.41403739,1,0,0,0,
16011,"Bonaire, Sint Eustatius and Saba",US,4/3/2020 22:46,43.2167288,-112.3978437,2,0,0,0,
19013,British Columbia,US,4/3/2020 22:46,42.4704581,-92.30524729,8,0,0,0,
18009,British Virgin Islands,US,4/3/2020 22:46,40.47388153,-85.32499702,1,0,0,0,
37017,California,US,4/3/2020 22:46,34.61296243,-78.56180059,1,0,0,0,CA
16013,California,US,4/3/2020 22:46,43.4085812,-113.9752658,351,2,0,0,CA
42013,California,US,4/3/2020 22:46,40.47961444,-78.34917412,4,0,0,0,CA
48031,California,US,4/3/2020 22:46,30.26640707,-98.3999852,1,0,0,0,CA
13023,California,US,4/3/2020 22:46,32.43829035,-83.33035166,1,0,0,0,CA
47007,California,US,4/3/2020 22:46,35.59942968,-85.20611967,2,0,0,0,CA
1009,California,US,4/3/2020 22:46,33.98210918,-86.56790593,9,0,0,0,CA
47009,California,US,4/3/2020 22:46,35.68938198,-83.92847788,33,0,0,0,CA
27013,California,US,4/3/2020 22:46,44.03554215,-94.06699781,10,0,0,0,CA
28011,California,US,4/3/2020 22:46,33.79696941,-90.87372121,32,1,0,0,CA
29017,California,US,4/3/2020 22:46,37.32449052,-90.02725304,1,0,0,0,CA
46009,California,US,4/3/2020 22:46,42.98914167,-97.88592746,1,0,0,0,CA
17005,California,US,4/3/2020 22:46,38.88829622,-89.43534887,3,0,0,0,CA
16017,California,US,4/3/2020 22:46,48.29996017,-116.6017932,1,0,0,0,CA
16019,California,US,4/3/2020 22:46,43.38713372,-111.6161537,3,0,0,0,CA
5009,California,US,4/3/2020 22:46,36.3084504,-93.09374925,1,0,0,0,CA
18011,California,US,4/3/2020 22:46,40.0509304,-86.46841646,38,0,0,0,CA
19015,California,US,4/3/2020 22:46,42.03657094,-93.9313999,2,0,0,0,CA
21015,California,US,4/3/2020 22:46,38.97065142,-84.72615357,8,0,0,0,CA
29019,California,US,4/3/2020 22:46,38.99186229,-92.30723575,69,1,0,0,CA
22015,California,US,4/3/2020 22:46,32.67932307,-93.60460152,95,2,0,0,CA
51023,California,US,4/3/2020 22:46,37.55531756,-79.80982182,8,0,0,0,CA
8013,California,US,4/3/2020 22:46,40.09313619,-105.3546767,132,2,0,0,CA
20011,California,US,4/3/2020 22:46,37.85508555,-94.84865997,3,0,0,0,CA
21017,California,US,4/3/2020 22:46,38.2054607,-84.21827874,2,1,0,0,CA
48037,California,US,4/3/2020 22:46,33.44626922,-94.41834132,10,1,0,0,CA
49003,California,US,4/3/2020 22:46,41.52106798,-113.0832816,10,0,0,0,CA
21019,California,US,4/3/2020 22:46,38.36176608,-82.68652187,4,1,0,0,CA
21021,California,US,4/3/2020 22:46,37.62680923,-84.8633779,4,0,0,0,CA
21023,California,US,4/3/2020 22:46,38.69158994,-84.08532444,1,0,0,0,CA
12007,California,US,4/3/2020 22:46,29.95079741,-82.16611613,5,0,0,0,CA
42015,California,US,4/3/2020 22:46,41.78869215,-76.51570822,9,0,0,0,CA
5011,California,US,4/3/2020 22:46,33.46755808,-92.15980837,4,0,0,0,CA
47011,California,US,4/3/2020 22:46,35.15739424,-84.857186,21,0,0,0,CA
26023,California,US,4/3/2020 22:46,41.91600556,-85.05929476,6,0,0,0,CA
48039,California,US,4/3/2020 22:46,29.18757369,-95.44563172,123,1,0,0,CA
48041,California,US,4/3/2020 22:46,30.6636448,-96.30205577,72,5,0,0,CA
21025,California,US,4/3/2020 22:46,37.52333168,-83.31959161,2,0,0,0,CA
21027,California,US,4/3/2020 22:46,37.77377239,-86.42885017,2,0,0,0,CA
19017,California,US,4/3/2020 22:46,42.77461496,-92.31795937,1,0,0,0,CA
12009,California,US,4/3/2020 22:46,28.29409504,-80.73091022,62,0,0,0,CA
25005,California,US,4/3/2020 22:46,41.79228404,-71.10872211,517,4,0,0,CA
44001,California,US,4/3/2020 22:46,41.71018079,-71.28652315,21,0,0,0,CA
51520,California,US,4/3/2020 22:46,36.6163024,-82.16359122,1,0,0,0,CA
30007,California,US,4/3/2020 22:46,46.33277565,-111.4955813,3,0,0,0,CA
46011,California,US,4/3/2020 22:46,44.36974375,-96.79079945,2,0,0,0,CA
13027,California,US,4/3/2020 22:46,30.83922642,-83.58303423,5,0,0,0,CA
36007,California,US,4/3/2020 22:46,42.15903158,-75.81326086,56,4,0,0,CA
8014,California,US,4/3/2020 22:46,39.95998787,-105.0566324,30,2,0,0,CA
12011,California,US,4/3/2020 22:46,26.15184651,-80.48725556,1598,22,0,0,CA
18013,California,US,4/3/2020 22:46,39.19605589,-86.22868909,3,0,0,0,CA
27015,California,US,4/3/2020 22:46,44.24205652,-94.72562874,2,0,0,0,CA
39015,Cayman Islands,US,4/3/2020 22:46,38.93416837,-83.86788395,3,1,0,0,
46013,Channel Islands,US,4/3/2020 22:46,45.58994323,-98.35165355,7,0,0,0,
48049,Chongqing,US,4/3/2020 22:46,31.77430356,-98.99907113,4,0,0,0,
55009,Colorado,US,4/3/2020 22:46,44.4526553,-88.00411844,24,0,0,0,
37019,Colorado,US,4/3/2020 22:46,34.070565,-78.22814204,23,0,0,0,
51025,Colorado,US,4/3/2020 22:46,36.76366949,-77.8593436,1,0,0,0,
13029,Colorado,US,4/3/2020 22:46,32.00979311,-81.44002948,12,1,0,0,
40013,Colorado,US,4/3/2020 22:46,33.96472458,-96.25903472,3,0,0,0,
19019,Colorado,US,4/3/2020 22:46,42.4709188,-91.83510825,3,0,0,0,
29021,Colorado,US,4/3/2020 22:46,39.65816401,-94.80138942,8,0,0,0,
51029,Colorado,US,4/3/2020 22:46,37.57242268,-78.52518834,3,0,0,0,
42017,Colorado,US,4/3/2020 22:46,40.33682119,-75.10836643,450,8,0,0,
51530,Colorado,US,4/3/2020 22:46,37.73484642,-79.35296097,1,0,0,0,
31019,Colorado,US,4/3/2020 22:46,40.85486962,-99.07500296,9,1,0,0,
55011,Colorado,US,4/3/2020 22:46,44.37835084,-91.75332578,2,0,0,0,
21029,Colorado,US,4/3/2020 22:46,37.97162523,-85.68955617,6,1,0,0,
13031,Colorado,US,4/3/2020 22:46,32.39577406,-81.74811421,5,0,0,0,
1011,Colorado,US,4/3/2020 22:46,32.10030533,-85.71265535,2,0,0,0,
37021,Colorado,US,4/3/2020 22:46,35.61113393,-82.53305,31,1,0,0,
17011,Colorado,US,4/3/2020 22:46,41.40385234,-89.5283051,2,0,0,0,
13033,Colorado,US,4/3/2020 22:46,33.05917989,-81.99928721,8,0,0,0,
37023,Colorado,US,4/3/2020 22:46,35.74989637,-81.70755735,10,0,0,0,
38013,Colorado,US,4/3/2020 22:46,48.79094471,-102.5182117,2,0,0,0,
38015,Colorado,US,4/3/2020 22:46,46.97847375,-100.4645214,32,0,0,0,
48051,Colorado,US,4/3/2020 22:46,30.49273808,-96.62158484,1,0,0,0,
34005,Colorado,US,4/3/2020 22:46,39.87681124,-74.66927768,367,9,0,0,
48053,Colorado,US,4/3/2020 22:46,30.78801353,-98.181887,4,0,0,0,
1013,Colorado,US,4/3/2020 22:46,31.75300095,-86.68057478,1,0,0,0,
19023,Colorado,US,4/3/2020 22:46,42.73172833,-92.79015971,1,0,0,0,
20015,Colorado,US,4/3/2020 22:46,37.78134351,-96.83878537,7,0,0,0,
21031,Colorado,US,4/3/2020 22:46,37.20946153,-86.68748787,1,0,0,0,
29023,Colorado,US,4/3/2020 22:46,36.71462476,-90.40421163,1,0,0,0,
39017,Colorado,US,4/3/2020 22:46,39.44012838,-84.57388716,49,1,0,0,
42019,Colorado,US,4/3/2020 22:46,40.91152759,-79.91351055,75,2,0,0,
6007,Colorado,US,4/3/2020 22:46,39.66727762,-121.6005252,10,0,0,0,
13035,Colorado,US,4/3/2020 22:46,33.2830945,-83.9543504,9,0,0,0,
37025,Colorado,US,4/3/2020 22:46,35.3877799,-80.55267168,58,1,0,0,
54011,Colorado,US,4/3/2020 22:46,38.42424062,-82.23855912,5,0,0,0,
49005,Colorado,US,4/3/2020 22:46,41.72330587,-111.7443667,15,0,0,0,
22017,Colorado,US,4/3/2020 22:46,32.57991587,-93.88375652,377,10,0,0,
40015,Colorado,US,4/3/2020 22:46,35.17364557,-98.37534464,2,0,0,0,
6009,Colorado,US,4/3/2020 22:46,38.20537103,-120.552913,3,0,0,0,
22019,Colorado,US,4/3/2020 22:46,30.22931235,-93.35400434,119,1,0,0,
22021,Colorado,US,4/3/2020 22:46,32.0902519,-92.11752148,1,0,0,0,
29025,Colorado,US,4/3/2020 22:46,39.65620858,-93.98308093,1,0,0,0,
37027,Colorado,US,4/3/2020 22:46,35.95204977,-81.54799522,3,0,0,0,
48055,Colorado,US,4/3/2020 22:46,29.83668859,-97.61814775,2,0,0,0,
50005,Colorado,US,4/3/2020 22:46,44.46548598,-72.10314651,4,0,0,0,
1015,Colorado,US,4/3/2020 22:46,33.77483727,-85.82630386,18,0,0,0,
12013,Colorado,US,4/3/2020 22:46,30.40666734,-85.19394153,2,0,0,0,
13037,Colorado,US,4/3/2020 22:46,31.53169785,-84.62725131,10,1,0,0,
26025,Colorado,US,4/3/2020 22:46,42.24633834,-85.00493569,31,1,0,0,
28013,Colorado,US,4/3/2020 22:46,33.93683395,-89.33686647,4,0,0,0,
45017,Colorado,US,4/3/2020 22:46,33.66926881,-80.77722168,3,1,0,0,
48057,Colorado,US,4/3/2020 22:46,28.47048236,-96.61633945,8,0,0,0,
29027,Colorado,US,4/3/2020 22:46,38.83674754,-91.92186505,18,0,0,0,
21035,Connecticut,US,4/3/2020 22:46,36.62093411,-88.2731593,3,0,0,0,
55015,Connecticut,US,4/3/2020 22:46,44.0816316,-88.21780273,3,0,0,0,
24009,Connecticut,US,4/3/2020 22:46,38.53961642,-76.56820632,30,1,0,0,
16025,Connecticut,US,4/3/2020 22:46,43.46665742,-114.8065892,1,0,0,0,
42021,Connecticut,US,4/3/2020 22:46,40.49527404,-78.71377428,4,0,0,0,
13039,Connecticut,US,4/3/2020 22:46,30.92951916,-81.66601818,6,0,0,0,
29029,Connecticut,US,4/3/2020 22:46,38.02199522,-92.76083747,19,1,0,0,
34007,Connecticut,US,4/3/2020 22:46,39.80343818,-74.96388753,406,7,0,0,
42023,Connecticut,US,4/3/2020 22:46,41.43625568,-78.20376845,1,0,0,0,
48061,Curacao,US,4/3/2020 22:46,26.14524221,-97.48140372,55,0,0,0,
48063,Delaware,US,4/3/2020 22:46,32.97195142,-94.97790104,1,0,0,0,
21037,Delaware,US,4/3/2020 22:46,38.94384345,-84.37875208,8,1,0,0,
47013,Delaware,US,4/3/2020 22:46,36.40355516,-84.1510856,4,0,0,0,
51031,Delaware,US,4/3/2020 22:46,37.20553386,-79.09678609,2,0,0,0,
56005,Diamond Princess,US,4/3/2020 22:46,44.24886082,-105.5474404,6,0,0,0,
40017,Diamond Princess,US,4/3/2020 22:46,35.5426055,-97.98465569,29,1,0,0,
13043,District of Columbia,US,4/3/2020 22:46,32.40209349,-82.07702563,1,0,0,0,
47015,Faroe Islands,US,4/3/2020 22:46,35.80990797,-86.05738983,4,0,0,0,
16027,Florida,US,4/3/2020 22:46,43.61970148,-116.7095499,79,1,0,0,
29031,Florida,US,4/3/2020 22:46,37.38489388,-89.6843587,15,0,0,0,
34009,Florida,US,4/3/2020 22:46,39.15008829,-74.80170244,44,0,0,0,
30009,Florida,US,4/3/2020 22:46,45.22850116,-109.0274047,1,0,0,0,
